G0	STAT1
G1	RLIM
G2	MYD88
G3	LASS2
G4	TCOF1
G5	KDM5A
G6	HCLS1
G7	TNFAIP3
G8	ELF2
G9	GTF2F1
G10	CTBP1
G11	REL
G12	TGIF1
G13	MCM6
G14	H1F0
G15	LDB1
G16	CHD7
G17	MYEF2
G18	MCM4
G19	SNAPC5
G20	ZFHX3
G21	POLR2J
G22	ID3
G23	SMARCA5
G24	PCBD2
G25	YBX1
G26	TIAL1
G27	BUB3
G28	SSRP1
G29	DDX5
G30	DAB2
G31	PER1
G32	PHB2
G33	HIF1A
G34	SKIL
G35	MATR3
G36	AKT1
G37	KLF10
G38	LASS5
G39	COPS5
G40	SRSF5
G41	SUPT4H1
G42	RBBP4
G43	NR3C1
G44	LMO4
G45	CREB3
G46	ATF3
G47	CTNNB1
G48	RBL2
G49	HIST1H1C
G50	DNMT1
G51	RBM39
G52	NCOR1
G53	PREB
G54	KDM6B
G55	TCF12
G56	FOS
G57	DOT1L
G58	HDAC1
G59	SRSF1
G60	USF2
G61	HTATIP2
G62	IRF1
G63	TRIM28
G64	SRSF9
G65	AFF4
G66	TBPL1
G67	ZMYND11
G68	SUPT16H
G69	AEBP2
G70	MED8
G71	ZFML
G72	BHLHE40
G73	POLR2F
G74	GTF2A1
G75	ATF4
G76	TCEB1
G77	JUP
G78	TNF
G79	CNOT2
G80	RFX7
G81	CBFB
G82	GTF2E2
G83	BIN1
G84	SRSF6
G85	RDBP
G86	CHD4
G87	TSC22D4
G88	MAPK1
G89	RBBP7
G90	RNF4
G91	FOSL2
G92	HBP1
G93	MED15
G94	GATAD2A
G95	MYST2
G96	MTA2
G97	CBFA2T3
G98	SMARCB1
G99	SUPT5H
G100	PARP1
G101	POLR2E
G102	SNRPD1
G103	ZNRD1
G104	ZBTB7A
G105	KLF13
G106	YEATS4
G107	UPF1
G108	GTF2A2
G109	HCFC1
G110	STAT3
G111	EGR1
G112	HMG20A
G113	ATF6
G114	HMG20B
G115	SUMO1
G116	TCF7L2
G117	IRF2
G118	NFKBIZ
G119	SSB
G120	EHMT2
G121	TOX4
G122	ARID1A
G123	MCM7
G124	BCLAF1
G125	SF1
G126	CDC5L
G127	NONO
G128	BTF3
G129	HDGF
G130	EHMT1
G131	PA2G4
G132	POLR1D
G133	DNAJC2
G134	EIF5B
G135	SUZ12
G136	KLF4
G137	NFAT5
G138	BTG2
G139	BACH1
G140	NAP1L4
G141	CIITA
G142	MLL2
G143	TRERF1
G144	SFPI1
G145	SNRPB
G146	EWSR1
G147	SFPQ
G148	XBP1
G149	ARL6IP5
G150	POLR2H
G151	NFKBIA
G152	UBE2K
G153	RELA
G154	SRSF3
G155	EZH2
G156	ELL2
G157	MCM3
G158	JUN
G159	ELF1
G160	NCOA4
G161	DEK
G162	UBTF
G163	SP1
G164	POLR2B
G165	RNPS1
G166	FOXJ3
G167	NFKB1
G168	JMJD1C
G169	MAPK14
G170	NFIL3
G171	KLF6
G172	ETS2
G173	MAPK3
G174	GTF2I
G175	EDF1
G176	KDM5C
G177	MAFF
G178	ETV3
G179	ZEB2
G180	KHDRBS1
G181	ING1
G182	SND1
G183	PCBP2
G184	CTCF
G185	AGAP3
G186	NSD1
G187	CIC
G188	FXR1
G189	SUB1
G190	RUNX1
G191	HMGA1
G192	ZFP148
G193	MKL2
G194	THRAP3
G195	ILK
G196	NFX1
G197	JUNB
G198	CSDA
G199	MEF2A
G200	CNOT8
G201	POLR2D
G202	MED1
G203	ZFP91
G204	BTG1
G205	CEBPA
G206	BATF3
G207	EGR2
G208	SRRT
G209	TAX1BP3
G210	CNOT6L
G211	DDB1
G212	ZFP410
G213	HOPX
G214	FOSB
G215	KDM2B
G216	FUBP3
G217	KPNA2
G218	HNRNPD
G219	TCEB2
G220	TRPS1
G221	ID2
G222	FLI1
G223	POLR3K
G224	UBP1
G225	FOXN2
G226	SMAD2
G227	SMARCA4
G228	BAZ1A
G229	POLR2I
G230	NME2
G231	NCOA3
G232	CBX3
G233	HAX1
G234	POLR2A
G235	PAPOLA
G236	HNRNPK
G237	RAD51
G238	TFDP1
G239	TUBA1A
G240	SIRT7
G241	ZFP36L1
G242	PBRM1
G243	CXXC1
G244	POLR2G
G245	AIP
G246	IRF4
G247	POLR2K
G248	NFE2L2
G249	MED27
G250	CSDE1
G251	SMARCC2
G252	TARBP2
G253	RUVBL2
G254	TCEB3
G255	TRP53
G256	HSBP1
G257	DNMT3A
G258	TAF12
G259	HHEX
G260	APEX1
G261	IVNS1ABP
G262	AHR
G263	RFC1
G264	SMAD4
G265	SMARCE1
G266	SRRM1
G267	ATF2
G268	AES
G269	POLR2C
G270	SRSF2
G271	SIRT2
G272	RBPJ
G273	SERTAD2
G274	TLR4
G275	MBD2
G276	TOB1
G277	ZMYM2
G278	STAT6
G279	WBP11
G280	SKI
G281	CCRN4L
G282	CREBBP
G283	ARID1B
G284	TAF7
G285	MITF
G286	SIN3B
G287	GTF2B
G288	HMGB2
G289	TCEA1
G290	SUMO2
G291	MLL3
G292	MCM5
G293	WHSC1L1
G294	CENPB
G295	ZFP36
G296	TAF6
G297	DPF2
G298	ASH1L
G299	MDM2
G300	DENND4A
G301	NR4A1
G302	TCERG1
G303	ZFX
G304	TARDBP
G305	TOP2B
G306	CREM
G307	IRF5
G308	DAZAP2
G309	NCOR2
G310	NFKBIB
G311	TAF9
G312	CHD1
G313	NOTCH2
G314	CNOT6
G315	ILF3
G316	CTCFL
G317	TSG101
G318	VDR
G319	SUPT6H
G320	HNRNPAB
G321	MED21
G322	COPS2
